m199,m99,m49,m19,m9,m5,m3,m1,p5
-119.139799682507,-53.3867817864118,5.93072258197143,-14.3985335937232,-8.27994198330307,2.27441440824111,4.83834127065703,1.69367640844669,3.29598793983623
-128.852599466271,-50.1039091851089,0.762965492888448,-13.5035630141189,-6.89042356741361,1.50161797310518,2.98529062733361,-1.37484297845983,6.09446184304213
-118.673089053271,-49.5016916107575,5.37244108033718,-7.43333906760708,-6.20047021044784,4.43890131314869,1.28103675669477,0.942141177819833,4.76919548139227
-111.61781664973,-41.1367762414222,4.57348054943423,-1.56312442196367,-2.20310341284069,4.32285541384546,2.28360032427047E-02,0.440734862584339,4.02712917185235
-108.817097755151,-40.5052334255874,-4.25792416942859,-2.49826311773215,2.54154280702953,1.96239222787896,1.62583569663215,0.250566622248043,-0.28587373720117
-106.847656638694,-36.7231638418079,-7.979258571318,-1.76291087598261,5.9377314891594,3.19081893263458,3.59547580350924,2.92547016484793,-7.75868740809536
-103.924157686537,-31.477833856227,-5.50102305278952,-0.332287546037371,9.07161369526668,5.74437320965762,4.42668121675079,1.2991406356568,-7.40417405538126
-101.214512853914,-28.9315680296869,0.830838446255471,-5.29974221020542,8.27390302506198,4.5520970734564,3.88873989502318,-0.310880261839999,-11.0625208667429
-96.7730605435307,-24.1257628309259,3.29005136760768,-4.48259208851033,5.52092022654433,3.87122974930852,0.725512578478291,-0.26946042059972,-9.91131404486983
-114.528840662479,-30.6025128498001,-3.61679040548258,-12.1250713877784,-1.25642490005727E-02,-0.28669331810394,-4.66876070816676,-4.06396344945746,-4.96858937749795E-02
-127.164851761068,-32.3512666382994,-5.67784776368071,-13.6420570661457,-3.52872784806334,-8.41129336745397,-9.49783949322482,-4.93890050881283,4.94549290119202
-119.094899973483,-35.8722489025073,-6.68336230517663,-8.80645826581421,-2.7606729324416,-7.99622874988952,-7.37220470817007,1.67702778350668,-0.666450605462417
-127.771931444044,-45.9146435274931,-14.1665897412228,-13.9745838333487,-7.79531677897781,-12.438536570356,-7.75716175882335,-4.4370596018339,6.43712114218898
-120.6498696362,-34.780940081386,-16.9016057896148,-9.05541070688857,-6.97263578547236,-11.0017300616487,-1.64660444942615,1.01184239382051,1.54182606788664
-104.704221972082,-19.7116785610212,-12.1299560604069,2.21354985058253,-3.36032180466594,-4.97105929273763E-02,3.03291755469595,6.20353916566199,-3.09919834526578
-103.979190342126,-17.5562928656681,-7.23483961601499,2.83134697420493,-4.66218569935641,4.71243953834996,7.2045730993484,5.59645025155353E-02,-4.26301031916898
-120.980103693333,-20.5654490016254,-14.122581180965,1.14193173324475,-8.38385516153143,-0.67092196898691,2.62080747920795,-3.87782220271216,-3.31071220947477
-106.447341794108,-18.8783209505363,-9.58977768783788,3.10196293833655,-5.35457199849673,6.04781590587146,-1.18990488855484,2.53302882252609,-7.20938972565118
-107.452890747329,-25.8430471482479,-15.7402796858783,-3.2809997180344,-5.0471842435223,1.51841475340008,-5.05378343842051,-3.76034123836892,-2.34031448163324
-97.733343554122,-15.8400603812747,-10.6716827152704,-3.26259368237326,1.60977421884675,-3.1983206457966,0.598505799314819,1.71119589124296,-1.32673699355501
-105.991195733868,-13.8303329635064,-9.65486799565751,-3.04272097157105,-1.22818319554298,-4.45283514071316,-3.1667919306157,-1.15898977607578,0.400844636913498
-110.090003865197,-20.7426085782825,-11.7348597792543,-6.99232482376544,0.305534593510152,-3.42407342646616,-2.26635499684034,-2.85472382249544,2.46022835336486
-106.369402938574,-17.2276709494909,-11.8515010655135,-9.14472290417856,-2.28680383335618,-7.76952506760715,-5.6721458569595,-1.56213003003378,4.9069700783869
-103.88116914231,-17.7423119924318,-10.3786566412345,-7.87291290405809,-7.51108817711598,-2.39639772462005,-2.9855147248535,1.41289791505412,6.24562308798054
-90.5288067933954,-18.1021758227311,-13.5102994520106,-8.10032329582464,-4.64446423129096,-1.34457598049468,2.59712320499107,2.72082419519659,4.66478226832955
-84.206680212455,-18.5987238441521,-14.3751708076379,-8.88615596668211,-0.152093061942273,0.399244287598476,4.65309711379651,0.581637139224561,2.53805297116173
-79.9039538211888,-16.0548014107531,-15.4260701903559,-9.40342389058879,-3.56400783219463,2.40115447027897,2.52510433944301,-0.787411004592737,1.96463536583175
-94.6870118376584,-7.68645945319879,-21.9148140008672,-8.22934052423068,0.994292027250967,4.67744905292794,0.607028943757747,0.806600103349346,0.75789523702045
-87.8811006458402,2.82677952969881,-18.1205298549317,-1.24137771533307,1.94503709100159,5.87847565523582,2.67991882187646,2.65505657606402,-5.97445548790712
